answer,answer_count,caption,confidence,end_seconds,end_timestamp,flags,modality,pair_index,question,question_count,recommended_action,section,segment_confidence,segment_id,severity,side,source_files,source_media,source_prefix,source_unit_index,split_status,start_seconds,start_timestamp,task_label,timestamp
Emergency exit signs.,1,"I observe a poster on my desk (frame 000000) displaying 'REVOLUTION' at the top and 'GAME OVER' at the bottom, likely used as decoration. In the kitchen area, labels on cleaning bottles are visible (frame 001320), identifying their contents. Near the exit door, an 'EXIT' sign pattern is present (frame 001500) indicating the way out.",0.75,64.0,00:01:04.000,[],ir,6,What kind of signs do I see near the building exit?,1,keep,text_recognition,0.9,check_mailbox_day_seg_001,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_ir.mp4,check_mailbox_day,33,single,0.0,00:00:00.000,walk to mailbox,
One poster is clearly visible.,1,"I observe a poster on my desk (frame 000000) displaying 'REVOLUTION' at the top and 'GAME OVER' at the bottom, likely used as decoration. In the kitchen area, labels on cleaning bottles are visible (frame 001320), identifying their contents. Near the exit door, an 'EXIT' sign pattern is present (frame 001500) indicating the way out.",0.75,64.0,00:01:04.000,[],ir,7,How many posters with text are seen in this segment?,1,keep,text_recognition,0.9,check_mailbox_day_seg_001,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_ir.mp4,check_mailbox_day,33,single,0.0,00:00:00.000,walk to mailbox,
It indicates an exit or evacuation route.,1,"I observe a poster on my desk (frame 000000) displaying 'REVOLUTION' at the top and 'GAME OVER' at the bottom, likely used as decoration. In the kitchen area, labels on cleaning bottles are visible (frame 001320), identifying their contents. Near the exit door, an 'EXIT' sign pattern is present (frame 001500) indicating the way out.",0.75,64.0,00:01:04.000,[],ir,8,What is the text on the exit sign?,1,keep,text_recognition,0.9,check_mailbox_day_seg_001,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_ir.mp4,check_mailbox_day,33,single,0.0,00:00:00.000,walk to mailbox,
"The audio transitions from the echoing, contained sounds of a hallway and stairwell to the open, briefly captured ambient noise of the outdoors as the user exits the building.",1,A transition from a quiet indoor environment to a slightly more open outdoor space.,0.8,64.0,00:01:04.000,[],audio,1,How does the ambient audio change during this segment?,1,keep,audio_ambient_environment_understanding,0.9,check_mailbox_day_seg_001,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day.m4a,check_mailbox_day,34,single,0.0,00:00:00.000,walk to mailbox,00:00 - 00:64
"The primary sound sources are the user's footsteps on indoor surfaces and stairwells, and the mechanical sounds of doors being opened and closed.",1,Footsteps on various surfaces and the mechanical sound of doors opening and closing.,0.8,64.0,00:01:04.000,[],audio,1,What are the primary sound sources heard as the user navigates to the mailbox?,1,keep,audio_sound_source_identification,0.9,check_mailbox_day_seg_001,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day.m4a,check_mailbox_day,35,single,0.0,00:00:00.000,walk to mailbox,00:00 - 00:64
Checking for mail.,1,I approach the mailbox bank and scan the labels to find room 1'234. I then take out my keys and attempt to insert one into the lock to check for mail. The purpose is to retrieve any correspondence.,0.85,105.0,00:01:45.000,[],rgb,1,What is my primary action at the mailboxes?,1,keep,action,0.9,check_mailbox_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,0,single,64.0,00:01:04.000,check mailbox,
1'234.,1,I approach the mailbox bank and scan the labels to find room 1'234. I then take out my keys and attempt to insert one into the lock to check for mail. The purpose is to retrieve any correspondence.,0.85,105.0,00:01:45.000,"[""short_answer""]",rgb,2,Which mailbox number am I looking for?,1,review,action,0.9,check_mailbox_day_seg_002,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,0,single,64.0,00:01:04.000,check mailbox,
Keys.,1,I approach the mailbox bank and scan the labels to find room 1'234. I then take out my keys and attempt to insert one into the lock to check for mail. The purpose is to retrieve any correspondence.,0.85,105.0,00:01:45.000,"[""short_answer""]",rgb,3,What object do I use to interact with the mailbox?,1,review,action,0.9,check_mailbox_day_seg_002,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,0,single,64.0,00:01:04.000,check mailbox,
I am in the process of inserting the key.,1,I approach the mailbox bank and scan the labels to find room 1'234. I then take out my keys and attempt to insert one into the lock to check for mail. The purpose is to retrieve any correspondence.,0.85,105.0,00:01:45.000,[],rgb,4,Do I successfully open the mailbox in this segment?,1,keep,action,0.9,check_mailbox_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,0,single,64.0,00:01:04.000,check mailbox,
Scanning the numbers on the boxes.,1,I approach the mailbox bank and scan the labels to find room 1'234. I then take out my keys and attempt to insert one into the lock to check for mail. The purpose is to retrieve any correspondence.,0.85,105.0,00:01:45.000,[],rgb,5,What am I doing with my eyes?,1,keep,action,0.9,check_mailbox_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,0,single,64.0,00:01:04.000,check mailbox,
No.,1,I approach the mailbox bank and scan the labels to find room 1'234. I then take out my keys and attempt to insert one into the lock to check for mail. The purpose is to retrieve any correspondence.,0.85,105.0,00:01:45.000,"[""short_answer""]",rgb,6,Do I talk to the people in the background?,1,review,action,0.9,check_mailbox_day_seg_002,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,0,single,64.0,00:01:04.000,check mailbox,
Between my thumb and forefinger.,1,I approach the mailbox bank and scan the labels to find room 1'234. I then take out my keys and attempt to insert one into the lock to check for mail. The purpose is to retrieve any correspondence.,0.85,105.0,00:01:45.000,[],rgb,7,How do I hold the keys?,1,keep,action,0.9,check_mailbox_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,0,single,64.0,00:01:04.000,check mailbox,
I can now unlock it.,1,I approach the mailbox bank and scan the labels to find room 1'234. I then take out my keys and attempt to insert one into the lock to check for mail. The purpose is to retrieve any correspondence.,0.85,105.0,00:01:45.000,[],rgb,8,What is the consequence of me finding the right box?,1,keep,action,0.9,check_mailbox_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,0,single,64.0,00:01:04.000,check mailbox,
Two.,1,I count over 30 individual mailboxes in the main bank. There are 2 people walking in the background. I have 1 set of keys. There are at least 5 green mailboxes in the center column. I also see 1 concrete planter nearby.,0.85,105.0,00:01:45.000,"[""short_answer""]",rgb,1,How many people are walking in the background?,1,review,counting,0.9,check_mailbox_day_seg_002,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,1,single,64.0,00:01:04.000,check mailbox,
At least five.,1,I count over 30 individual mailboxes in the main bank. There are 2 people walking in the background. I have 1 set of keys. There are at least 5 green mailboxes in the center column. I also see 1 concrete planter nearby.,0.85,105.0,00:01:45.000,[],rgb,2,How many mailbox units are visible in the green column?,1,keep,counting,0.9,check_mailbox_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,1,single,64.0,00:01:04.000,check mailbox,
One set.,1,I count over 30 individual mailboxes in the main bank. There are 2 people walking in the background. I have 1 set of keys. There are at least 5 green mailboxes in the center column. I also see 1 concrete planter nearby.,0.85,105.0,00:01:45.000,[],rgb,3,How many keys am I holding?,1,keep,counting,0.9,check_mailbox_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,1,single,64.0,00:01:04.000,check mailbox,
About four.,1,I count over 30 individual mailboxes in the main bank. There are 2 people walking in the background. I have 1 set of keys. There are at least 5 green mailboxes in the center column. I also see 1 concrete planter nearby.,0.85,105.0,00:01:45.000,[],rgb,4,How many concrete tiles do I stand on?,1,keep,counting,0.9,check_mailbox_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,1,single,64.0,00:01:04.000,check mailbox,
"Many, at least twenty.",1,I count over 30 individual mailboxes in the main bank. There are 2 people walking in the background. I have 1 set of keys. There are at least 5 green mailboxes in the center column. I also see 1 concrete planter nearby.,0.85,105.0,00:01:45.000,[],rgb,5,How many red panels are on the building in the distance?,1,keep,counting,0.9,check_mailbox_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,1,single,64.0,00:01:04.000,check mailbox,
About three main clusters.,1,I count over 30 individual mailboxes in the main bank. There are 2 people walking in the background. I have 1 set of keys. There are at least 5 green mailboxes in the center column. I also see 1 concrete planter nearby.,0.85,105.0,00:01:45.000,[],rgb,6,How many bushes are in the garden area?,1,keep,counting,0.9,check_mailbox_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,1,single,64.0,00:01:04.000,check mailbox,
"At least two (Wiebusch, F. Festa).",1,I count over 30 individual mailboxes in the main bank. There are 2 people walking in the background. I have 1 set of keys. There are at least 5 green mailboxes in the center column. I also see 1 concrete planter nearby.,0.85,105.0,00:01:45.000,[],rgb,7,How many name labels can you read?,1,keep,counting,0.9,check_mailbox_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,1,single,64.0,00:01:04.000,check mailbox,
At least five.,1,I count over 30 individual mailboxes in the main bank. There are 2 people walking in the background. I have 1 set of keys. There are at least 5 green mailboxes in the center column. I also see 1 concrete planter nearby.,0.85,105.0,00:01:45.000,[],rgb,8,How many columns of mailboxes are there?,1,keep,counting,0.9,check_mailbox_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,1,single,64.0,00:01:04.000,check mailbox,
Two.,1,I count over 30 individual mailboxes in the main bank. There are 2 people walking in the background. I have 1 set of keys. There are at least 5 green mailboxes in the center column. I also see 1 concrete planter nearby.,0.85,105.0,00:01:45.000,"[""short_answer""]",rgb,9,How many trees are in the background?,1,review,counting,0.9,check_mailbox_day_seg_002,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,1,single,64.0,00:01:04.000,check mailbox,
Once.,1,I count over 30 individual mailboxes in the main bank. There are 2 people walking in the background. I have 1 set of keys. There are at least 5 green mailboxes in the center column. I also see 1 concrete planter nearby.,0.85,105.0,00:01:45.000,"[""short_answer""]",rgb,10,How many times do I try the key?,1,review,counting,0.9,check_mailbox_day_seg_002,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,1,single,64.0,00:01:04.000,check mailbox,
