answer,answer_count,caption,flags,modality,pair_key,qa_index,question,question_count,recommended_action,section,severity,source_file,source_status,split_status
It is on a dark surface.,8,"The text 'FAIRY' is visible on a bottle in the background of the kitchen sink area, identifiable in frame_000870. This is a common brand of dish soap used for cleaning kitchenware.",['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,7,Does the text appear on a dark or light background?,8,split,text_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
"Yes, it is legible.",8,"The text 'FAIRY' is visible on a bottle in the background of the kitchen sink area, identifiable in frame_000870. This is a common brand of dish soap used for cleaning kitchenware.",['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,8,Can you read the brand name easily?,8,split,text_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
A kitchen.,10,"The video displays a static scene of a person washing a mug in a kitchen sink. The camera angle remains fixed, showing the sink, the faucet, and the person's hands throughout the entire duration.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,1,What is the setting of the video?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
"No, it is a single static scene.",10,"The video displays a static scene of a person washing a mug in a kitchen sink. The camera angle remains fixed, showing the sink, the faucet, and the person's hands throughout the entire duration.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,2,Does the scene change during the recording?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Washing a mug.,10,"The video displays a static scene of a person washing a mug in a kitchen sink. The camera angle remains fixed, showing the sink, the faucet, and the person's hands throughout the entire duration.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,3,What is the main action performed in the sequence?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,10,"The video displays a static scene of a person washing a mug in a kitchen sink. The camera angle remains fixed, showing the sink, the faucet, and the person's hands throughout the entire duration.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,4,Is there any transition to another room?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
"It is a fixed, top-down view.",10,"The video displays a static scene of a person washing a mug in a kitchen sink. The camera angle remains fixed, showing the sink, the faucet, and the person's hands throughout the entire duration.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,5,What is the camera position throughout the video?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
"Only the hands, sponge, mug, and faucet.",10,"The video displays a static scene of a person washing a mug in a kitchen sink. The camera angle remains fixed, showing the sink, the faucet, and the person's hands throughout the entire duration.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,6,Are there any other objects interacting with the sink besides the mug and sponge?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,10,"The video displays a static scene of a person washing a mug in a kitchen sink. The camera angle remains fixed, showing the sink, the faucet, and the person's hands throughout the entire duration.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,7,Does the person move away from the sink?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Scrubbing motion with the sponge.,10,"The video displays a static scene of a person washing a mug in a kitchen sink. The camera angle remains fixed, showing the sink, the faucet, and the person's hands throughout the entire duration.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,8,What is the sequence of the person's hand movements?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,10,"The video displays a static scene of a person washing a mug in a kitchen sink. The camera angle remains fixed, showing the sink, the faucet, and the person's hands throughout the entire duration.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,9,Is there any background activity visible?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
The video ends while the mug is still being washed.,10,"The video displays a static scene of a person washing a mug in a kitchen sink. The camera angle remains fixed, showing the sink, the faucet, and the person's hands throughout the entire duration.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,10,How does the video conclude?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
On the chrome faucet.,1,"The scene is dimly lit with artificial lighting likely originating from above, casting soft shadows in the sink area. The light reflection is visible on the polished chrome of the faucet.",[],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,1,Where is the primary light reflection observed in the kitchen sink area?,1,keep,light_recognition,pass,qa_pairs/aligned/rgb_qa_results_aligned.json,single,single
No.,8,"The lighting remains constant throughout the video, which is a low-light indoor setting. There are no sudden changes in brightness or light sources.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,1,Does the lighting level change during the video?,8,split,light_change,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The lighting remains constant throughout the video, which is a low-light indoor setting. There are no sudden changes in brightness or light sources.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,2,Is there a light flickering?,8,split,light_change,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The lighting remains constant throughout the video, which is a low-light indoor setting. There are no sudden changes in brightness or light sources.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,3,Does the scene get brighter at any point?,8,split,light_change,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The lighting remains constant throughout the video, which is a low-light indoor setting. There are no sudden changes in brightness or light sources.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,4,Are there any shadows moving due to light changes?,8,split,light_change,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The lighting remains constant throughout the video, which is a low-light indoor setting. There are no sudden changes in brightness or light sources.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,5,Does the light source shift?,8,split,light_change,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
It appears to be an indoor setting with consistent artificial light.,8,"The lighting remains constant throughout the video, which is a low-light indoor setting. There are no sudden changes in brightness or light sources.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,6,Is it a daylight or night-time recording?,8,split,light_change,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The lighting remains constant throughout the video, which is a low-light indoor setting. There are no sudden changes in brightness or light sources.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,7,Is the light coming from an external source?,8,split,light_change,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The lighting remains constant throughout the video, which is a low-light indoor setting. There are no sudden changes in brightness or light sources.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,8,Does the intensity of the reflection on the faucet change?,8,split,light_change,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
One.,10,"I can identify 1 sink, 1 faucet, 1 bottle of soap, 1 sponge, and 1 mug in the video.",['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,1,How many sinks are visible?,10,split,counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
One.,10,"I can identify 1 sink, 1 faucet, 1 bottle of soap, 1 sponge, and 1 mug in the video.",['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,2,How many faucets are present?,10,split,counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
One.,10,"I can identify 1 sink, 1 faucet, 1 bottle of soap, 1 sponge, and 1 mug in the video.",['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,3,How many bottles of dish soap can be seen?,10,split,counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
One.,10,"I can identify 1 sink, 1 faucet, 1 bottle of soap, 1 sponge, and 1 mug in the video.",['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,4,How many sponges are used?,10,split,counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
One.,10,"I can identify 1 sink, 1 faucet, 1 bottle of soap, 1 sponge, and 1 mug in the video.",['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,5,How many mugs are being washed?,10,split,counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Two.,10,"I can identify 1 sink, 1 faucet, 1 bottle of soap, 1 sponge, and 1 mug in the video.",['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,6,How many hands are visible?,10,split,counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,10,"I can identify 1 sink, 1 faucet, 1 bottle of soap, 1 sponge, and 1 mug in the video.",['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,7,Are there any other kitchen appliances visible?,10,split,counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
One.,10,"I can identify 1 sink, 1 faucet, 1 bottle of soap, 1 sponge, and 1 mug in the video.",['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,8,How many drain holes are in the sink?,10,split,counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
"Three (mug, sponge, bottle).",10,"I can identify 1 sink, 1 faucet, 1 bottle of soap, 1 sponge, and 1 mug in the video.",['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,9,How many distinct objects are involved in the cleaning process?,10,split,counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,10,"I can identify 1 sink, 1 faucet, 1 bottle of soap, 1 sponge, and 1 mug in the video.",['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,10,Is there more than one sponge?,10,split,counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Two hands are moving.,8,"The only dynamic movement in the video is the person's hands scrubbing the mug with the sponge, which starts from frame 000000 and continues until the end of the video.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,1,How many hands are moving?,8,split,dynamic_counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Two (the sponge and the mug).,8,"The only dynamic movement in the video is the person's hands scrubbing the mug with the sponge, which starts from frame 000000 and continues until the end of the video.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,2,How many objects are moving in the sink?,8,split,dynamic_counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The only dynamic movement in the video is the person's hands scrubbing the mug with the sponge, which starts from frame 000000 and continues until the end of the video.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,3,Does the faucet move?,8,split,dynamic_counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The only dynamic movement in the video is the person's hands scrubbing the mug with the sponge, which starts from frame 000000 and continues until the end of the video.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,4,Are there any other people in the video?,8,split,dynamic_counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The only dynamic movement in the video is the person's hands scrubbing the mug with the sponge, which starts from frame 000000 and continues until the end of the video.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,5,Is the soap bottle moving?,8,split,dynamic_counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The only dynamic movement in the video is the person's hands scrubbing the mug with the sponge, which starts from frame 000000 and continues until the end of the video.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,6,Are there any insects or other living things moving?,8,split,dynamic_counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
"Yes, it is moving across the surface of the mug.",8,"The only dynamic movement in the video is the person's hands scrubbing the mug with the sponge, which starts from frame 000000 and continues until the end of the video.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,7,Is the sponge moving constantly?,8,split,dynamic_counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
It is being moved by the person's hands.,8,"The only dynamic movement in the video is the person's hands scrubbing the mug with the sponge, which starts from frame 000000 and continues until the end of the video.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,8,Is the mug being held still or moved?,8,split,dynamic_counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,1,"The scene is a standard kitchen setup. No physical laws are violated, and the objects are in their expected locations (e.g., soap near the sink, sponge in the sink).","['short_answer', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,1,Are there any objects in the video that appear to be floating or misplaced according to normal kitchen layouts?,1,review,non_common,quality_warning,qa_pairs/aligned/rgb_qa_results_aligned.json,single,single
Cannot be determined from the video.,10,The scene is stationary. No navigation or movement through the room is shown.,['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,1,How many steps should I take to reach the kitchen sink from the front door?,10,split,navigation,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Yes.,10,The scene is stationary. No navigation or movement through the room is shown.,['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,2,Is there a clear path to the faucet?,10,split,navigation,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
The camera is already facing the sink.,10,The scene is stationary. No navigation or movement through the room is shown.,['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,3,Which direction should I turn to face the sink?,10,split,navigation,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,10,The scene is stationary. No navigation or movement through the room is shown.,['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,4,Are there any obstacles on the counter?,10,split,navigation,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
The sink is part of a counter area.,10,The scene is stationary. No navigation or movement through the room is shown.,['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,5,Is the sink centrally located?,10,split,navigation,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
"Yes, it is on the counter behind the sink.",10,The scene is stationary. No navigation or movement through the room is shown.,['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,6,Can I reach the soap easily?,10,split,navigation,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,10,The scene is stationary. No navigation or movement through the room is shown.,['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,7,Does the camera move to show a different path?,10,split,navigation,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Cannot be determined.,10,The scene is stationary. No navigation or movement through the room is shown.,['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,8,Is the room narrow?,10,split,navigation,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Cannot be determined.,10,The scene is stationary. No navigation or movement through the room is shown.,['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,9,How many turns are needed to leave the kitchen?,10,split,navigation,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
"Yes, it is set into the counter against a wall.",10,The scene is stationary. No navigation or movement through the room is shown.,['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,10,Is the sink near a wall?,10,split,navigation,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Scrubbing a mug.,8,The movement of the person's hands with the sponge and mug starts at frame 000000 and lasts throughout the entire sequence until 000870.,"['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,1,What is the primary dynamic movement in the video?,8,split,dynamic_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Yes.,8,The movement of the person's hands with the sponge and mug starts at frame 000000 and lasts throughout the entire sequence until 000870.,"['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,2,Does the movement start at the beginning of the video?,8,split,dynamic_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
"Yes, it is a consistent cleaning action.",8,The movement of the person's hands with the sponge and mug starts at frame 000000 and lasts throughout the entire sequence until 000870.,"['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,3,Is the movement consistent?,8,split,dynamic_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
"No, they continue for the duration of the video.",8,The movement of the person's hands with the sponge and mug starts at frame 000000 and lasts throughout the entire sequence until 000870.,"['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,4,Do the hands stop moving?,8,split,dynamic_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,The movement of the person's hands with the sponge and mug starts at frame 000000 and lasts throughout the entire sequence until 000870.,"['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,5,Does the mug disappear?,8,split,dynamic_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,The movement of the person's hands with the sponge and mug starts at frame 000000 and lasts throughout the entire sequence until 000870.,"['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,6,Does the soap bottle move?,8,split,dynamic_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Yes.,8,The movement of the person's hands with the sponge and mug starts at frame 000000 and lasts throughout the entire sequence until 000870.,"['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,7,Is the sponge movement rhythmic?,8,split,dynamic_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
It lasts for the entire duration of the video.,8,The movement of the person's hands with the sponge and mug starts at frame 000000 and lasts throughout the entire sequence until 000870.,"['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,8,How long does the hand movement last?,8,split,dynamic_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Washing a mug.,8,"The person is washing a white ceramic mug in a kitchen sink. They are holding the mug with one hand and using a yellow sponge with the other to clean its surface. The purpose is to clean the mug, and the consequence will be a clean dish.",['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,1,What is the main action being performed by the person?,8,split,action,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
A yellow sponge.,8,"The person is washing a white ceramic mug in a kitchen sink. They are holding the mug with one hand and using a yellow sponge with the other to clean its surface. The purpose is to clean the mug, and the consequence will be a clean dish.",['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,2,What tool is being used to clean the mug?,8,split,action,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
"No, it is being scrubbed.",8,"The person is washing a white ceramic mug in a kitchen sink. They are holding the mug with one hand and using a yellow sponge with the other to clean its surface. The purpose is to clean the mug, and the consequence will be a clean dish.",['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,3,Is the mug being filled with water?,8,split,action,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Cleaning the mug.,8,"The person is washing a white ceramic mug in a kitchen sink. They are holding the mug with one hand and using a yellow sponge with the other to clean its surface. The purpose is to clean the mug, and the consequence will be a clean dish.",['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,4,What is the purpose of the action?,8,split,action,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
"Presumably, given the bottle of soap in the background.",8,"The person is washing a white ceramic mug in a kitchen sink. They are holding the mug with one hand and using a yellow sponge with the other to clean its surface. The purpose is to clean the mug, and the consequence will be a clean dish.",['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,5,Is the person using soap?,8,split,action,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The person is washing a white ceramic mug in a kitchen sink. They are holding the mug with one hand and using a yellow sponge with the other to clean its surface. The purpose is to clean the mug, and the consequence will be a clean dish.",['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,6,Does the person switch hands?,8,split,action,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
"It is being scrubbed, not actively rinsed under a stream of water.",8,"The person is washing a white ceramic mug in a kitchen sink. They are holding the mug with one hand and using a yellow sponge with the other to clean its surface. The purpose is to clean the mug, and the consequence will be a clean dish.",['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,7,Is the mug being rinsed?,8,split,action,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
A clean mug.,8,"The person is washing a white ceramic mug in a kitchen sink. They are holding the mug with one hand and using a yellow sponge with the other to clean its surface. The purpose is to clean the mug, and the consequence will be a clean dish.",['multi_question'],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg2/wash_cup_and_drink_water_rgb,8,What is the expected outcome?,8,split,action,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
A water pitcher.,1,"The video shows a kitchen counter with various items including a pink water bottle, a white box with an image of a kettle on it, a stack of white napkins, a scrubbing brush, a small bottle of soap, and a white mug being filled with water from a water pitcher.",[],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg3/wash_cup_and_drink_water_rgb,1,What object is being used to pour water into the white mug?,1,keep,object_recognition,pass,qa_pairs/aligned/rgb_qa_results_aligned.json,single,single
The stack of white napkins is next to the box.,1,"The kitchen counter has several objects: a pink water bottle is on the left, a box is in the corner, a stack of napkins is next to the box, a brush is behind the sink, and a white mug is on the sink area. The distance from the user to these items ranges from 1 to 3 steps.",[],rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg3/wash_cup_and_drink_water_rgb,1,Where is the stack of white napkins located in relation to the box in the corner?,1,keep,spatial_reasoning,pass,qa_pairs/aligned/rgb_qa_results_aligned.json,single,single
The brand displayed is PHILIPS.,8,"The word 'PHILIPS' is visible on the packaging of a kitchen appliance, likely an electric kettle, in frame 000330, indicating the brand of the product.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg3/wash_cup_and_drink_water_rgb,1,What brand is displayed on the box in the corner?,8,split,text_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
"No, the text is not clearly visible in the early frames because of the low light.",8,"The word 'PHILIPS' is visible on the packaging of a kitchen appliance, likely an electric kettle, in frame 000330, indicating the brand of the product.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg3/wash_cup_and_drink_water_rgb,2,Is the text 'PHILIPS' clearly visible in the early frames?,8,split,text_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Only one side of the box with the text is clearly shown.,8,"The word 'PHILIPS' is visible on the packaging of a kitchen appliance, likely an electric kettle, in frame 000330, indicating the brand of the product.","['multi_question', 'frame_reference']",rgb,aligned_dataset/wash_cup_and_drink_water_split/Seg3/wash_cup_and_drink_water_rgb,3,Does the text on the box appear on more than one side?,8,split,text_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
